	Frequency [Hz]	Amplitude [m]	Phase Angle [°]	
474	948,	1,2964e-007	-161,62	
475	950,	1,2889e-007	-162,02	
476	952,	1,2816e-007	-162,43	
477	954,	1,2747e-007	-162,84	
478	956,	1,2679e-007	-163,25	
479	958,	1,2614e-007	-163,66	
480	960,	1,2552e-007	-164,08	
481	962,	1,2493e-007	-164,5	
482	964,	1,2436e-007	-164,92	
483	966,	1,2381e-007	-165,34	
484	968,	1,2329e-007	-165,77	
485	970,	1,2279e-007	-166,2	
486	972,	1,2232e-007	-166,63	
487	974,	1,2187e-007	-167,06	
488	976,	1,2144e-007	-167,49	
489	978,	1,2103e-007	-167,93	
490	980,	1,2065e-007	-168,36	
491	982,	1,203e-007	-168,8	
492	984,	1,1996e-007	-169,24	
493	986,	1,1965e-007	-169,68	
494	988,	1,1936e-007	-170,12	
495	990,	1,1909e-007	-170,56	
496	992,	1,1884e-007	-171,01	
497	994,	1,1861e-007	-171,45	
498	996,	1,184e-007	-171,89	
499	998,	1,1822e-007	-172,34	
500	1000,	1,1805e-007	-172,78	
